-2531,-2531,-1724,-1218,134,-2282,-256,-6258-3771,-3771
-1224,-1224,-535,-113,2185,321,2065,-5526-5328,-5328
-2679,-2679,-2491,-1572,103,-2300,-161,-7492-6949,-6949
-4791,-4791,-5213,-3176,-1885,-4110,-1990,-8744-8814,-8814
-4924,-4924,-4803,75,236,-1069,-1046,-4989-7826,-7826
-4032,-4032,-3042,550,19,-1715,-1908,-4271-7172,-7172
-5357,-5357,-3933,-4722,-4570,-6063,-6330,-10087-10740,-10740
-7046,-7046,-5878,-7672,-6839,-7736,-5873,-9221-11318,-11318
-5608,-5608,-4626,-6248,-4295,-5031,-4515,-6215-10291,-10291
-876,-876,-20,308,640,-664,-467,-1046-7387,-7387
-1912,-1912,-1070,-3013,-2473,-5093,556,-688-7364,-7364
-1056,-1056,66,-2003,-2485,-4230,-2091,-3968-8064,-8064
456,456,1138,2263,596,-1335,-2787,-3295-4051,-4051
2329,2329,2743,2265,2333,924,-292,77838,38
4538,4538,3303,4729,2574,2052,1493,42952121,2121
3210,3210,1266,3895,1356,2428,-622,31262850,2850
1075,1075,-871,-522,-382,1572,-2394,20494418,4418
1397,1397,-475,621,629,3037,-598,21805369,5369
2354,2354,6,2082,2493,6354,-495,28564411,4411
97,97,-1687,1335,1098,5701,-707,29693936,3936
-4076,-4076,-4220,-2214,-2956,659,-1044,-12424650,4650
-4282,-4282,-3561,-2785,-3693,330,1123,-27185357,5357
-4441,-4441,-3451,-3596,-3716,1096,3016,-14742574,2574
-3180,-3180,-2676,-3932,-2238,1742,3553,-11711577,1577
-3167,-3167,-2214,-2707,-2028,560,5397,7822776,2776
-3975,-3975,-2564,-3428,-3529,-791,5800,27882640,2640
-112,-112,1154,985,12,2677,5130,2568-428,-428
2488,2488,3136,2830,1581,2590,6289,3996-2847,-2847
1791,1791,1315,1800,1594,1582,7996,7386639,639
2078,2078,860,3671,2639,1875,8039,109943101,3101
2338,2338,1914,4038,1922,478,1768,7439-617,-617
1032,1032,432,698,-173,-1148,-3124,-339-2041,-2041
489,489,-881,-2665,-1060,-2326,-3580,-957855,855
2757,2757,1756,-116,1941,1360,-2102,2515-20,-20
3443,3443,2630,4769,2753,2722,-4422,592-1941,-1941
-3,-3,-896,29,-1902,-3948,-10388,-8253-8340,-8340
-80,-80,-644,-2121,-2763,-4630,-9441,-9314-8623,-8623
-2052,-2052,-1976,-4085,-4781,-4059,-7956,-7371-5318,-5318
-1924,-1924,-2200,-4590,-4985,-2681,-8650,-7167-5798,-5798
-3133,-3133,-4316,-6019,-6138,-5147,-8515,-6595-6805,-6805
-1684,-1684,-1887,-5870,-4682,-2696,-4474,-2865-4807,-4807
-733,-733,-122,-4040,-3888,-1362,-195,-572-2917,-2917
-839,-839,-550,-2329,-2978,-1906,3393,62-2641,-2641
1705,1705,1510,1236,1400,2562,6601,2261-1821,-1821
3557,3557,3910,3811,3671,5620,11169,78841318,1318
2013,2013,2754,4151,3681,3795,11991,81155020,5020
1527,1527,1506,4457,3922,3282,9256,38385222,5222
2032,2032,2116,1719,3552,3587,4781,16102615,2615
511,511,798,-2333,1878,2216,3153,1276161,161
221,221,751,418,910,1246,2453,-483259,3259
-1625,-1625,281,-426,-1632,-576,-3717,-49593459,3459
-446,-446,2001,-990,-239,1143,-3140,-20605106,5106
1455,1455,4195,585,1678,2328,1524,9444707,4707
3109,3109,5151,3337,3803,4751,3884,23324607,4607
2340,2340,3724,4704,3714,3723,2700,43923127,3127
-586,-586,1111,739,-209,-1798,-987,724-4113,-4113
-404,-404,1090,-929,-852,-2532,-2823,-2719-6196,-6196
-972,-972,-119,-2041,-1150,-2169,-1709,-2631-2897,-2897
-3958,-3958,-4067,-5066,-4281,-4579,-5483,-2768-1762,-1762
-5337,-5337,-5131,-6332,-5142,-5322,-5342,-608-3688,-3688
-2848,-2848,-1703,-5591,-1947,-988,-2847,-1047-3163,-3163
110,110,795,-2905,354,2177,-1419,-537-827,-827
-2695,-2695,-2751,-5136,-2633,-2119,-3611,-1600-5502,-5502
-2083,-2083,-2251,-4661,-715,368,-3217,-1310-7914,-7914
3805,3805,3525,3359,5960,7165,3040,3079-3683,-3683
990,990,-159,3508,2231,1450,1534,-855-5482,-5482
-2332,-2332,-3358,4162,-447,13,-1184,-4732-4544,-4544
-1858,-1858,-2772,4957,911,1589,-995,-6251-1008,-1008
-1375,-1375,-2795,6117,2388,2553,1106,-4612-272,-272
-784,-784,-2172,9646,3521,2116,4532,13982904,2904
-1623,-1623,-2004,7215,1527,1005,3240,23357540,7540
-3025,-3025,-3175,3053,-1548,-754,-1616,-7586890,6890
-1389,-1389,-2645,1770,-38,-481,-1068,8853833,3833
1770,1770,-384,3772,2960,2547,3647,66444030,4030
573,573,-1200,3957,667,1251,-170,44571890,1890
-3082,-3082,-3638,-1085,-4068,-3076,-6523,-4360-8861,-8861
-700,-700,-856,387,-1511,-1571,-3887,-2925-12389,-12389
2298,2298,3058,1309,1051,719,1058,2615-7840,-7840
-180,-180,984,-184,272,1896,3559,3972-6323,-6323
-1100,-1100,25,596,933,1769,4416,2852-6581,-6581
480,480,1591,712,2383,1512,8420,4874-426,-426
3083,3083,3760,2219,4432,4424,13054,69608095,8095
-208,-208,-110,-1324,2012,2528,9073,16189620,9620
-254,-254,-1032,-1549,1135,699,5357,-2708253,8253
966,966,549,-361,183,-401,1673,538829,8829
114,114,796,-2613,-1259,-1312,-645,011733,11733
1918,1918,2408,-819,-218,356,1052,3878127,8127
2004,2004,1864,-738,-903,-822,-2311,-25122303,2303
5178,5178,4559,2762,1960,2651,-1957,18413734,3734
4988,4988,3739,2888,883,2084,-1725,53734606,4606
774,774,-437,-1793,-4089,-3930,-7585,-1830-2268,-2268
703,703,-380,-778,-3698,-2675,-6746,-3020-5535,-5535
761,761,-175,-431,-3841,-1300,-4314,-465-4404,-4404
1951,1951,1275,3773,-135,2069,-211,2784-1460,-1460
1533,1533,1361,6916,1539,2144,2015,1628-1358,-1358
-3945,-3945,-2832,1992,-3830,-4896,-3071,-6811-4721,-4721
-1944,-1944,288,2389,-2398,-2157,-1227,-51101196,1196
919,919,3369,2715,456,696,-235,-36475374,5374
1113,1113,2967,1966,1303,1217,-2681,-55931250,1250
1947,1947,2979,1653,1348,2222,-4018,-5264-2479,-2479
6101,6101,6952,2969,3879,5801,-3099,-3085-930,-930
6190,6190,6708,2636,3830,5180,-4011,-3999-2954,-2954
1183,1183,1342,-4166,-1423,-670,-7502,-6685-8768,-8768
26,26,423,-6531,-3259,-1966,-9448,-5876-9471,-9471
1285,1285,4134,-3824,-1858,-700,-5310,-584-2085,-2085
-1951,-1951,3240,-5547,-4473,-3543,-4524,-904-1298,-1298
-2524,-2524,3726,-2346,-3001,-3195,-4798,-484-3429,-3429
212,212,6435,529,2449,689,29,3138-816,-816
-2565,-2565,2452,94,1696,-111,4176,6038-717,-717
-5583,-5583,-1879,414,-980,-3925,4562,6623-2697,-2697
-6108,-6108,-3156,-614,-821,-3396,2045,1587-1277,-1277
-4247,-4247,-3275,383,873,5,2648,-3622976,2976
-5687,-5687,-6203,-2098,-1976,-2344,2983,-21321680,1680
-4244,-4244,-5760,262,-444,539,5522,12882277,2277
-2082,-2082,-4675,2685,1299,2476,4093,21944248,4248
652,652,-3064,2733,733,930,-982,-13555626,5626
1867,1867,-2593,2412,-181,-965,-2268,-25632721,2721
1162,1162,-2616,-2313,-2105,-1368,-3092,-2290-110,-110
1399,1399,-2406,-2021,-1559,-1719,-3260,-734-1770,-1770
1637,1637,-1055,-753,-1648,-3409,-3222,-1612-5559,-5559
1757,1757,1010,-1257,-2249,-2870,-2162,-1782-5818,-5818
-4263,-4263,-4062,-5906,-7044,-7311,-3263,-4331-8955,-8955
-5362,-5362,-5282,-8467,-7608,-8086,-5044,-5337-7736,-7736
1006,1006,248,-1171,-672,-393,445,1991-426,-426
-68,-68,-569,-1152,-1387,-595,449,34572304,2304
-3386,-3386,-2987,-7012,-5671,-4583,-2756,-543-1234,-1234
-234,-234,83,-5065,-3648,-2508,1420,23561903,1903
679,679,253,-6596,-3713,-2784,44,9453813,3813
1898,1898,721,-5177,-3497,-1131,-1825,6493020,3020
145,145,-593,-3750,-6287,-4383,-4184,-13921454,1454
-971,-971,-1155,-5720,-8285,-7159,-6352,-44001504,1504
4176,4176,3749,1905,-359,644,-783,11536438,6438
3436,3436,3081,4239,1990,2313,1223,17678011,8011
1703,1703,949,4089,979,1974,910,21139166,9166
906,906,550,5353,2264,2312,3032,49148130,8130
-2116,-2116,-2513,2813,816,-262,3257,30403072,3072
-2953,-2953,-4211,1865,-687,-825,-174,-338-370,-370
-2530,-2530,-4073,20,-264,-509,-1563,-1703-984,-984
-2155,-2155,-4560,2627,1623,579,-227,837-880,-880
-3519,-3519,-5960,4999,2654,1175,-825,-188-2363,-2363
-2702,-2702,-3940,6052,4020,2214,-1280,-3355-2623,-2623
1294,1294,688,9391,7653,6875,5038,1471-880,-880
1822,1822,1798,7957,8941,9439,7458,6374-168,-168
888,888,1692,8012,9191,9699,8096,10262-731,-731
4062,4062,5820,10412,10913,10981,11915,14864826,826
3885,3885,5386,5031,7556,7817,9704,130192557,2557
1251,1251,1666,-1423,876,2487,3101,62591277,1277
690,690,731,-4591,-1607,24,-787,921-1486,-1486
5286,5286,4147,-217,2366,3025,1964,2451-727,-727
4415,4415,3101,-2027,22,291,-246,-426-554,-554
246,246,-256,-9059,-5484,-5095,-10039,-8373-1730,-1730
-872,-872,-339,-6680,-4086,-5296,-8024,-9396-310,-310
-1864,-1864,-608,-5489,-1215,-3431,-3387,-67371036,1036
-3457,-3457,-2679,-5530,-882,-1917,-2483,-4842-803,-803
-6348,-6348,-5575,-6037,-3851,-4737,-4801,-6879-2835,-2835
-5332,-5332,-4436,-3093,-1652,-3683,-3679,-8181-2459,-2459
-2117,-2117,-1676,3154,3079,820,3141,-4369-861,-861
860,860,363,3648,4467,2710,4672,-1784288,288
-1959,-1959,-3426,286,813,-1241,-350,-1261278,278
-2362,-2362,-3721,162,-714,-4116,-4206,-1746240,240
1831,1831,1727,2566,3396,80,-2210,-922000,2000
1590,1590,1331,1026,2899,374,-3265,1621652,652
-18,-18,-76,-3352,419,-748,-6727,950-548,-548
-417,-417,96,-2555,800,462,-8108,1541-27,-27
1660,1660,2339,932,2245,2259,-4856,26722366,2366
466,466,1523,-1909,-1506,-235,-4909,53-330,-330
-2636,-2636,-1080,-4400,-4907,-3082,-5593,-949-4285,-4285
-177,-177,941,-2872,-3117,-1347,-4063,-1657-6372,-6372
5139,5139,5374,3409,2483,4536,1499,2826-6019,-6019
3558,3558,4619,3419,1506,3001,936,2504-4936,-4936
-323,-323,1576,-1258,-2035,-1469,-2089,-2329-1594,-1594
101,101,1251,503,-874,-148,-564,-43581974,1974
-849,-849,-391,-1454,-1270,-259,-47,-63715871,5871
-1866,-1866,-1821,1325,-853,-9,4097,-315611718,11718
-2634,-2634,-2412,4906,386,115,7770,-42613488,13488
-6305,-6305,-6117,26,-4175,-4880,871,-69794634,4634
-4270,-4270,-4737,113,-4366,-4930,-1633,-8495-452,-452
-1035,-1035,-1839,1971,-1385,-1814,347,-4791-888,-888
-1891,-1891,-3265,2862,-1458,-1553,691,-2062-5542,-5542
-816,-816,-1886,-463,-2158,-2231,1454,-1955-9763,-9763
2441,2441,1504,-515,-877,-809,2312,-1442-7822,-7822
3723,3723,2116,4057,1759,2151,4420,1658-3072,-3072
3517,3517,2082,2433,2634,4687,5160,1846-4242,-4242
4009,4009,2504,2600,3163,4852,4256,4393-4924,-4924
5968,5968,4583,6017,5331,5694,4366,80942209,2209
2619,2619,2182,5329,4573,4480,3521,73246661,6661
-2182,-2182,-1983,-93,380,137,1022,44327348,7348
-3427,-3427,-3336,-4005,-1019,-3832,-1841,37586330,6330
-1172,-1172,-1995,-812,2067,-2199,336,87819813,9813
-3595,-3595,-4626,-38,26,-4288,-419,60558542,8542
-2489,-2489,-2999,-897,-389,-4109,50,27762584,2584
2080,2080,990,706,2343,-1491,3601,45891781,1781
2759,2759,1944,1522,3286,-899,6141,58292793,2793
2761,2761,2100,5610,4253,1223,7512,61311490,1490
2531,2531,2159,5017,1814,-484,3925,2236-3824,-3824
836,836,1415,2191,-848,-3238,-2091,-2419-8710,-8710
2136,2136,2609,5606,1526,-131,-1850,-1050-7019,-7019
3456,3456,2808,7060,4591,3365,3872,2029-5153,-5153
4291,4291,3169,8636,6631,5553,7923,5300-4975,-4975
2482,2482,2552,3649,3411,2271,3078,2897-5596,-5596
3357,3357,3904,2577,4179,2218,5139,2480-1791,-1791
4830,4830,4552,4996,7136,4745,9864,46353766,3766
3939,3939,3206,450,5468,4723,4196,20143209,3209
1791,1791,1309,-2262,2751,2965,66,3303525,3525
-46,-46,-148,-2418,1042,474,937,2405169,5169
-3838,-3838,-3799,-4947,-2236,-2577,-3826,-73082168,2168
-5694,-5694,-4805,-7139,-4261,-2728,-5716,-10596271,271
-8220,-8220,-6408,-11488,-7234,-4965,-7452,-95041156,1156
-6837,-6837,-4667,-5590,-4318,-3512,-5565,-50074137,4137
-5442,-5442,-3087,-340,-855,-937,-4774,-49984637,4637
-4316,-4316,-1892,-16,-235,404,-5297,-52555297,5297
-4485,-4485,-1718,-1544,-1114,-330,-4651,-26655670,5670
-4588,-4588,-2266,-2356,-1069,-965,-5554,-45452560,2560
-303,-303,-196,2967,2143,2990,-1818,-2032-215,-215
-1350,-1350,-1579,417,-1255,-698,-1921,-3161-2194,-2194
-2382,-2382,-2193,-2618,-4420,-4452,-3762,-3965-270,-270
304,304,-876,1107,-2364,-2459,-2732,-3542-2728,-2728
3534,3534,721,3413,207,-15,1428,-1319-5506,-5506
492,492,-2675,1489,-2563,-2775,1624,-10-5957,-5957
-3592,-3592,-5436,-2681,-7093,-7016,-5178,-3171-8933,-8933
-759,-759,-2070,-2745,-5334,-4713,-2930,-2529-7362,-7362
1664,1664,-163,-1613,-2934,-2195,2741,-331-4041,-4041
-1504,-1504,-3044,-5800,-4694,-3942,-712,-2313-7152,-7152
936,936,-355,-2805,-1212,-198,95,4124-3815,-3815
1459,1459,-129,-1496,320,472,3250,8596271,271
2126,2126,469,-360,1121,1193,5278,6523458,458
-127,-127,-1514,-1481,-689,-488,2967,2790-2523,-2523
-603,-603,-1874,-2377,492,1281,2670,4625428,428
572,572,-1356,1825,2466,3119,5146,71937085,7085
-997,-997,-1970,3013,646,1506,1493,17206594,6594
-2047,-2047,-2094,1731,-1135,-166,-3703,-3652937,937
-2131,-2131,-2303,986,-1842,-1110,-5471,-4059-839,-839
-1114,-1114,-1479,-168,-2534,-1548,-7455,-4380308,308
287,287,174,713,-3161,-1505,-7980,-3991-1182,-1182
-149,-149,312,-751,-4935,-4065,-10375,-6144-5306,-5306
373,373,1004,-746,-3763,-2963,-8025,-6388-6581,-6581
-1468,-1468,-1228,-1444,-4250,-2889,-6356,-6044-3964,-3964
-3736,-3736,-3890,-4304,-5337,-4907,-5390,-5576-3852,-3852
57,57,-666,3317,-15,-210,1539,311-3090,-3090
515,515,227,5142,470,107,3794,22721171,1171
-2328,-2328,-1556,-1047,-3542,-3425,344,1363791,3791
1049,1049,2542,-28,-544,717,5762,21495121,5121
4627,4627,5964,1832,2428,4728,8747,30845954,5954
4267,4267,5841,3185,3273,7247,9382,52865234,5234
1291,1291,3885,-1388,881,4345,9353,17313758,3758
-190,-190,1763,-4969,-1362,-474,5913,-57861382,1382
-2030,-2030,-1402,-5271,-3679,-3673,-292,-9868-1993,-1993
63,63,37,-4164,-1957,-1448,1707,-5918-1286,-1286
174,174,-26,-2428,-2097,-2160,2035,-3703-5012,-5012
-2112,-2112,-1683,-3931,-4046,-3949,-3955,-6922-7363,-7363
978,978,1914,1435,52,696,-752,-2380-1425,-1425
3122,3122,3856,4887,2781,4144,1989,2493-160,-160
440,440,1037,902,968,3212,-1735,2132-2554,-2554
551,551,818,2632,2383,3398,-387,56071163,1163
-1481,-1481,-1634,1920,-386,-1269,-564,5080796,796
-1518,-1518,-1622,337,-1797,-2313,-2318,3030-3352,-3352
89,89,433,208,-271,264,-397,3768-5612,-5612
-1173,-1173,-163,-2253,-1603,-2680,-5088,1331-7832,-7832
-1089,-1089,192,320,-649,-2895,-6255,1270-8595,-8595
