head1,head2
1355,1214
171,-140
1329,2025
3712,3519
2153,374
2568,183
1868,-773
1029,-1477
1846,721
1018,1900
-143,1519
726,1507
375,1465
-2491,-1580
-2181,-2850
368,-1728
474,-1277
1502,899
1440,1440
143,841
2940,4076
1864,1952
993,-692
1216,-856
870,-469
653,-909
-934,-1806
-1824,-1085
-1376,389
-1011,1279
-1530,973
-2261,700
1109,2171
1953,1163
1533,948
978,616
2173,1902
2847,3277
2679,4032
-25,1176
-237,232
588,818
-3726,-3263
-4787,-4440
-2967,-3368
-2156,-2937
-796,-1152
-382,-388
-188,-636
1458,992
2124,1534
