ecg,emg_cheekbone,ksr,emg_nose,pulse
1.47058821,1.47058821,1.47058821,2.35294127,1.33333337
1.7647059,1.7647059,1.7647059,2.35294127,1.31372547
2.37254906,2.37254906,2.37254906,2.41176462,1.31372547
3.11764717,3.11764717,3.11764717,2.45098042,1.29411769
2.88235283,2.88235283,2.88235283,2.45098042,1.31372547
2.47058821,2.47058821,2.47058821,2.43137264,1.29411769
1.88235295,1.88235295,1.88235295,2.35294127,1.29411769
2.11764717,2.11764717,2.11764717,2.37254906,1.27450979
2.27450991,2.27450991,2.27450991,2.39215684,1.29411769
2.56862736,2.56862736,2.56862736,2.43137264,1.29411769
2.72549009,2.72549009,2.72549009,2.47058821,1.27450979
2.66666675,2.66666675,2.66666675,2.43137264,1.29411769
2.21568632,2.21568632,2.21568632,2.35294127,1.27450979
1.90196073,1.90196073,1.90196073,2.37254906,1.27450979
2.11764717,2.11764717,2.11764717,2.39215684,1.27450979
2.41176462,2.41176462,2.41176462,2.47058821,1.27450979
2.7647059,2.7647059,2.7647059,2.41176462,1.27450979
2.86274505,2.86274505,2.86274505,2.39215684,1.29411769
2.88235283,2.88235283,2.88235283,2.33333325,1.25490201
2.49019599,2.49019599,2.49019599,2.31372547,1.27450979
2.41176462,2.41176462,2.41176462,2.35294127,1.25490201
2.70588231,2.70588231,2.70588231,2.37254906,1.27450979
3.11764717,3.11764717,3.11764717,2.39215684,1.25490201
3.31372547,3.31372547,3.31372547,2.37254906,1.25490201
3.05882359,3.05882359,3.05882359,2.37254906,1.2352941
2.70588231,2.70588231,2.70588231,2.31372547,1.25490201
2.17647052,2.17647052,2.17647052,2.31372547,1.2352941
2.29411769,2.29411769,2.29411769,2.33333325,1.25490201
2.84313726,2.84313726,2.84313726,2.37254906,1.2352941
3.01960778,3.01960778,3.01960778,2.37254906,1.25490201
2.49019599,2.49019599,2.49019599,2.35294127,1.2352941
2.19607854,2.19607854,2.19607854,2.31372547,1.25490201
1.86274505,1.86274505,1.86274505,2.31372547,1.2352941
2.11764717,2.11764717,2.11764717,2.31372547,1.25490201
2.47058821,2.47058821,2.47058821,2.33333325,1.2352941
2.94117641,2.94117641,2.94117641,2.37254906,1.2352941
2.94117641,2.94117641,2.94117641,2.37254906,1.2352941
2.70588231,2.70588231,2.70588231,2.33333325,1.2352941
2.31372547,2.31372547,2.31372547,2.31372547,1.21568632
2.0392158,2.0392158,2.0392158,2.31372547,1.2352941
2.07843137,2.07843137,2.07843137,2.33333325,1.2352941
2.43137264,2.43137264,2.43137264,2.37254906,1.21568632
2.84313726,2.84313726,2.84313726,2.39215684,1.2352941
2.45098042,2.45098042,2.45098042,2.35294127,1.21568632
2.39215684,2.39215684,2.39215684,2.29411769,1.2352941
1.90196073,1.90196073,1.90196073,2.31372547,1.21568632
2.01960778,2.01960778,2.01960778,2.33333325,1.21568632
2.13725495,2.13725495,2.13725495,2.35294127,1.21568632
2.39215684,2.39215684,2.39215684,2.37254906,1.19607842
2.64705873,2.64705873,2.64705873,2.37254906,1.19607842
2.70588231,2.70588231,2.70588231,2.35294127,1.19607842
2.43137264,2.43137264,2.43137264,2.29411769,1.19607842
1.86274505,1.86274505,1.86274505,2.31372547,1.17647064
2.15686274,2.15686274,2.15686274,2.37254906,1.19607842
2.74509811,2.74509811,2.74509811,2.39215684,1.17647064
3.39215684,3.39215684,3.39215684,2.37254906,1.17647064
3.19607854,3.19607854,3.19607854,2.33333325,1.17647064
3.09803915,3.09803915,3.09803915,2.27450991,1.15686274
3.39215684,3.39215684,3.39215684,2.29411769,1.17647064
4.21568632,4.21568632,4.21568632,2.31372547,1.15686274
4.98039198,4.98039198,4.98039198,2.35294127,1.17647064
5.0,5.0,5.0,2.35294127,1.15686274
4.94117641,4.94117641,4.94117641,2.31372547,1.15686274
4.98039198,4.98039198,4.98039198,2.35294127,1.15686274
4.62745094,4.62745094,4.62745094,2.35294127,1.15686274
4.35294104,4.35294104,4.35294104,2.33333325,1.13725495
3.56862736,3.56862736,3.56862736,2.41176462,1.15686274
3.15686274,3.15686274,3.15686274,2.45098042,1.13725495
2.54901958,2.54901958,2.54901958,2.43137264,1.15686274
2.13725495,2.13725495,2.13725495,2.41176462,1.13725495
1.70588231,1.70588231,1.70588231,2.33333325,1.13725495
1.13725495,1.13725495,1.13725495,2.33333325,1.15686274
1.37254906,1.37254906,1.37254906,2.35294127,1.13725495
1.66666663,1.66666663,1.66666663,2.41176462,1.15686274
2.0,2.0,2.0,2.43137264,1.15686274
1.84313726,1.84313726,1.84313726,2.41176462,1.13725495
1.58823526,1.58823526,1.58823526,2.35294127,1.15686274
1.15686274,1.15686274,1.15686274,2.33333325,1.15686274
0.80392158,0.80392158,0.80392158,2.35294127,1.17647064
1.0196079,1.0196079,1.0196079,2.41176462,1.17647064
1.19607842,1.19607842,1.19607842,2.41176462,1.19607842
1.78431368,1.78431368,1.78431368,2.39215684,1.21568632
1.96078432,1.96078432,1.96078432,2.37254906,1.21568632
1.96078432,1.96078432,1.96078432,2.35294127,1.2352941
1.82352936,1.82352936,1.82352936,2.35294127,1.2352941
1.9803921,1.9803921,1.9803921,2.39215684,1.25490201
1.9803921,1.9803921,1.9803921,2.43137264,1.25490201
2.15686274,2.15686274,2.15686274,2.45098042,1.29411769
2.27450991,2.27450991,2.27450991,2.43137264,1.29411769
2.33333325,2.33333325,2.33333325,2.41176462,1.31372547
2.19607854,2.19607854,2.19607854,2.43137264,1.33333337
1.70588231,1.70588231,1.70588231,2.45098042,1.35294116
1.74509799,1.74509799,1.74509799,2.52941179,1.37254906
2.52941179,2.52941179,2.52941179,2.52941179,1.41176474
2.64705873,2.64705873,2.64705873,2.50980401,1.41176474
2.68627453,2.68627453,2.68627453,2.50980401,1.43137252
2.2352941,2.2352941,2.2352941,2.49019599,1.47058821
1.92156863,1.92156863,1.92156863,2.47058821,1.49019611
1.90196073,1.90196073,1.90196073,2.49019599,1.50980389
1.96078432,1.96078432,1.96078432,2.52941179,1.52941179
2.56862736,2.56862736,2.56862736,2.52941179,1.52941179
2.50980401,2.50980401,2.50980401,2.49019599,1.54901958
2.54901958,2.54901958,2.54901958,2.52941179,1.54901958
2.07843137,2.07843137,2.07843137,2.54901958,1.58823526
2.05882359,2.05882359,2.05882359,2.60784316,1.60784316
2.39215684,2.39215684,2.39215684,2.62745094,1.64705884
2.78431368,2.78431368,2.78431368,2.60784316,1.64705884
3.17647052,3.17647052,3.17647052,2.54901958,1.66666663
3.05882359,3.05882359,3.05882359,2.50980401,1.66666663
2.47058821,2.47058821,2.47058821,2.52941179,1.68627453
1.82352936,1.82352936,1.82352936,2.52941179,1.68627453
1.78431368,1.78431368,1.78431368,2.56862736,1.70588231
1.96078432,1.96078432,1.96078432,2.60784316,1.70588231
2.56862736,2.56862736,2.56862736,2.58823538,1.72549021
2.84313726,2.84313726,2.84313726,2.52941179,1.72549021
2.84313726,2.84313726,2.84313726,2.52941179,1.74509799
2.39215684,2.39215684,2.39215684,2.54901958,1.74509799
2.37254906,2.37254906,2.37254906,2.58823538,1.7647059
2.74509811,2.74509811,2.74509811,2.60784316,1.7647059
3.33333325,3.33333325,3.33333325,2.58823538,1.78431368
3.39215684,3.39215684,3.39215684,2.50980401,1.78431368
3.27450991,3.27450991,3.27450991,2.47058821,1.80392158
2.64705873,2.64705873,2.64705873,2.45098042,1.80392158
2.41176462,2.41176462,2.41176462,2.52941179,1.80392158
2.47058821,2.47058821,2.47058821,2.54901958,1.82352936
2.7647059,2.7647059,2.7647059,2.47058821,1.82352936
3.35294127,3.35294127,3.35294127,2.43137264,1.84313726
3.31372547,3.31372547,3.31372547,2.39215684,1.82352936
3.27450991,3.27450991,3.27450991,2.39215684,1.82352936
