ecg,emg_cheekbone,ksr,emg_nose,pulse
2.15686274,2.15686274,2.15686274,2.01960778,1.60784316
2.29411769,2.29411769,2.29411769,2.39215684,1.60784316
2.47058821,2.47058821,2.47058821,2.37254906,1.56862748
2.45098042,2.45098042,2.45098042,2.19607854,1.58823526
2.49019599,2.49019599,2.49019599,1.92156863,1.58823526
2.33333325,2.33333325,2.33333325,1.94117641,1.58823526
2.33333325,2.33333325,2.33333325,2.07843137,1.56862748
2.37254906,2.37254906,2.37254906,2.33333325,1.58823526
2.31372547,2.31372547,2.31372547,2.41176462,1.56862748
2.39215684,2.39215684,2.39215684,2.35294127,1.60784316
2.47058821,2.47058821,2.47058821,2.09803915,1.60784316
2.29411769,2.29411769,2.29411769,1.92156863,1.56862748
2.01960778,2.01960778,2.01960778,2.0,1.58823526
1.9803921,1.9803921,1.9803921,2.19607854,1.58823526
2.19607854,2.19607854,2.19607854,2.41176462,1.58823526
2.37254906,2.37254906,2.37254906,2.35294127,1.56862748
2.47058821,2.47058821,2.47058821,2.01960778,1.56862748
2.41176462,2.41176462,2.41176462,1.96078432,1.58823526
2.31372547,2.31372547,2.31372547,2.07843137,1.56862748
2.31372547,2.31372547,2.31372547,2.29411769,1.60784316
2.41176462,2.41176462,2.41176462,2.45098042,1.58823526
2.58823538,2.58823538,2.58823538,2.43137264,1.56862748
2.7647059,2.7647059,2.7647059,2.25490189,1.56862748
2.7647059,2.7647059,2.7647059,1.9803921,1.56862748
2.52941179,2.52941179,2.52941179,2.0,1.58823526
2.33333325,2.33333325,2.33333325,2.11764717,1.56862748
2.27450991,2.27450991,2.27450991,2.37254906,1.56862748
2.64705873,2.64705873,2.64705873,2.47058821,1.56862748
2.78431368,2.78431368,2.78431368,2.35294127,1.58823526
2.90196085,2.90196085,2.90196085,2.09803915,1.56862748
2.74509811,2.74509811,2.74509811,1.92156863,1.56862748
2.50980401,2.50980401,2.50980401,1.9803921,1.58823526
2.39215684,2.39215684,2.39215684,2.15686274,1.58823526
2.33333325,2.33333325,2.33333325,2.37254906,1.54901958
2.50980401,2.50980401,2.50980401,2.39215684,1.56862748
2.60784316,2.60784316,2.60784316,2.35294127,1.56862748
2.72549009,2.72549009,2.72549009,2.05882359,1.56862748
2.64705873,2.64705873,2.64705873,1.96078432,1.56862748
2.33333325,2.33333325,2.33333325,2.11764717,1.54901958
2.35294127,2.35294127,2.35294127,2.37254906,1.56862748
2.52941179,2.52941179,2.52941179,2.45098042,1.56862748
2.37254906,2.37254906,2.37254906,2.31372547,1.56862748
2.31372547,2.31372547,2.31372547,2.05882359,1.54901958
1.94117641,1.94117641,1.94117641,2.0392158,1.56862748
1.62745094,1.62745094,1.62745094,2.21568632,1.54901958
1.27450979,1.27450979,1.27450979,2.47058821,1.54901958
1.41176474,1.41176474,1.41176474,2.50980401,1.56862748
1.72549021,1.72549021,1.72549021,2.43137264,1.54901958
2.01960778,2.01960778,2.01960778,2.19607854,1.52941179
2.29411769,2.29411769,2.29411769,2.0,1.54901958
2.15686274,2.15686274,2.15686274,2.09803915,1.54901958
2.05882359,2.05882359,2.05882359,2.25490189,1.54901958
2.7647059,2.7647059,2.7647059,2.50980401,1.54901958
3.54901958,3.54901958,3.54901958,2.49019599,1.52941179
3.7647059,3.7647059,3.7647059,2.41176462,1.54901958
3.56862736,3.56862736,3.56862736,2.09803915,1.54901958
3.29411769,3.29411769,3.29411769,2.0,1.54901958
3.11764717,3.11764717,3.11764717,2.13725495,1.56862748
2.98039222,2.98039222,2.98039222,2.33333325,1.56862748
3.0,3.0,3.0,2.50980401,1.56862748
2.70588231,2.70588231,2.70588231,2.49019599,1.58823526
2.66666675,2.66666675,2.66666675,2.31372547,1.56862748
2.49019599,2.49019599,2.49019599,2.0392158,1.58823526
2.35294127,2.35294127,2.35294127,2.05882359,1.58823526
2.25490189,2.25490189,2.25490189,2.19607854,1.58823526
2.31372547,2.31372547,2.31372547,2.45098042,1.58823526
2.35294127,2.35294127,2.35294127,2.50980401,1.60784316
2.58823538,2.58823538,2.58823538,2.45098042,1.58823526
2.52941179,2.52941179,2.52941179,2.2352941,1.60784316
2.47058821,2.47058821,2.47058821,2.01960778,1.62745094
2.45098042,2.45098042,2.45098042,2.09803915,1.58823526
2.29411769,2.29411769,2.29411769,2.27450991,1.60784316
2.29411769,2.29411769,2.29411769,2.49019599,1.60784316
2.49019599,2.49019599,2.49019599,2.49019599,1.62745094
2.58823538,2.58823538,2.58823538,2.39215684,1.62745094
2.39215684,2.39215684,2.39215684,2.09803915,1.62745094
2.27450991,2.27450991,2.27450991,1.9803921,1.62745094
2.17647052,2.17647052,2.17647052,2.07843137,1.64705884
2.37254906,2.37254906,2.37254906,2.29411769,1.62745094
2.52941179,2.52941179,2.52941179,2.50980401,1.64705884
2.58823538,2.58823538,2.58823538,2.33333325,1.64705884
2.37254906,2.37254906,2.37254906,2.05882359,1.64705884
2.45098042,2.45098042,2.45098042,2.0392158,1.64705884
2.27450991,2.27450991,2.27450991,2.21568632,1.64705884
2.31372547,2.31372547,2.31372547,2.43137264,1.66666663
2.29411769,2.29411769,2.29411769,2.52941179,1.66666663
2.33333325,2.33333325,2.33333325,2.47058821,1.64705884
2.37254906,2.37254906,2.37254906,2.25490189,1.66666663
2.2352941,2.2352941,2.2352941,2.05882359,1.66666663
2.25490189,2.25490189,2.25490189,2.11764717,1.66666663
2.29411769,2.29411769,2.29411769,2.29411769,1.68627453
2.31372547,2.31372547,2.31372547,2.50980401,1.66666663
2.37254906,2.37254906,2.37254906,2.52941179,1.68627453
2.41176462,2.41176462,2.41176462,2.45098042,1.66666663
2.39215684,2.39215684,2.39215684,2.15686274,1.66666663
2.17647052,2.17647052,2.17647052,2.01960778,1.70588231
2.19607854,2.19607854,2.19607854,2.13725495,1.70588231
2.13725495,2.13725495,2.13725495,2.33333325,1.66666663
2.25490189,2.25490189,2.25490189,2.50980401,1.68627453
2.45098042,2.45098042,2.45098042,2.50980401,1.70588231
2.52941179,2.52941179,2.52941179,2.33333325,1.70588231
2.29411769,2.29411769,2.29411769,2.05882359,1.70588231
2.01960778,2.01960778,2.01960778,2.05882359,1.70588231
2.09803915,2.09803915,2.09803915,2.19607854,1.68627453
2.15686274,2.15686274,2.15686274,2.43137264,1.68627453
2.15686274,2.15686274,2.15686274,2.45098042,1.68627453
2.19607854,2.19607854,2.19607854,2.21568632,1.68627453
2.25490189,2.25490189,2.25490189,2.0,1.68627453
2.19607854,2.19607854,2.19607854,2.05882359,1.66666663
2.01960778,2.01960778,2.01960778,2.2352941,1.68627453
1.92156863,1.92156863,1.92156863,2.45098042,1.66666663
2.05882359,2.05882359,2.05882359,2.47058821,1.66666663
2.19607854,2.19607854,2.19607854,2.41176462,1.66666663
2.29411769,2.29411769,2.29411769,2.11764717,1.68627453
2.17647052,2.17647052,2.17647052,1.9803921,1.66666663
1.78431368,1.78431368,1.78431368,2.13725495,1.64705884
1.68627453,1.68627453,1.68627453,2.31372547,1.62745094
1.84313726,1.84313726,1.84313726,2.49019599,1.64705884
1.96078432,1.96078432,1.96078432,2.49019599,1.60784316
1.90196073,1.90196073,1.90196073,2.07843137,1.60784316
1.66666663,1.66666663,1.66666663,2.05882359,1.60784316
1.56862748,1.56862748,1.56862748,2.19607854,1.62745094
1.64705884,1.64705884,1.64705884,2.45098042,1.58823526
1.82352936,1.82352936,1.82352936,2.50980401,1.58823526
1.94117641,1.94117641,1.94117641,2.49019599,1.56862748
1.92156863,1.92156863,1.92156863,2.29411769,1.56862748
1.94117641,1.94117641,1.94117641,2.07843137,1.56862748
1.80392158,1.80392158,1.80392158,2.13725495,1.56862748
1.72549021,1.72549021,1.72549021,2.27450991,1.56862748
1.62745094,1.62745094,1.62745094,2.49019599,1.54901958
1.72549021,1.72549021,1.72549021,2.50980401,1.54901958
1.92156863,1.92156863,1.92156863,2.43137264,1.54901958
2.01960778,2.01960778,2.01960778,2.17647052,1.54901958
1.84313726,1.84313726,1.84313726,2.05882359,1.52941179
1.74509799,1.74509799,1.74509799,2.15686274,1.54901958
1.70588231,1.70588231,1.70588231,2.35294127,1.52941179
1.68627453,1.68627453,1.68627453,2.49019599,1.54901958
2.07843137,2.07843137,2.07843137,2.49019599,1.50980389
2.13725495,2.13725495,2.13725495,2.37254906,1.52941179
2.29411769,2.29411769,2.29411769,2.09803915,1.52941179
2.27450991,2.27450991,2.27450991,2.07843137,1.50980389
2.13725495,2.13725495,2.13725495,2.19607854,1.50980389
2.31372547,2.31372547,2.31372547,2.39215684,1.50980389
2.60784316,2.60784316,2.60784316,2.49019599,1.49019611
2.64705873,2.64705873,2.64705873,2.25490189,1.50980389
2.66666675,2.66666675,2.66666675,2.05882359,1.49019611
2.56862736,2.56862736,2.56862736,2.07843137,1.49019611
2.47058821,2.47058821,2.47058821,2.21568632,1.50980389
2.49019599,2.49019599,2.49019599,2.45098042,1.49019611
2.68627453,2.68627453,2.68627453,2.47058821,1.49019611
2.92156863,2.92156863,2.92156863,2.41176462,1.47058821
3.09803915,3.09803915,3.09803915,2.17647052,1.47058821
2.94117641,2.94117641,2.94117641,2.01960778,1.47058821
2.80392146,2.80392146,2.80392146,2.15686274,1.49019611
2.62745094,2.62745094,2.62745094,2.31372547,1.47058821
2.60784316,2.60784316,2.60784316,2.49019599,1.47058821
2.82352948,2.82352948,2.82352948,2.47058821,1.49019611
2.94117641,2.94117641,2.94117641,2.37254906,1.47058821
2.94117641,2.94117641,2.94117641,2.11764717,1.47058821
2.80392146,2.80392146,2.80392146,2.07843137,1.47058821
2.74509811,2.74509811,2.74509811,2.21568632,1.47058821
2.54901958,2.54901958,2.54901958,2.43137264,1.47058821
2.66666675,2.66666675,2.66666675,2.52941179,1.47058821
2.80392146,2.80392146,2.80392146,2.49019599,1.49019611
2.94117641,2.94117641,2.94117641,2.31372547,1.47058821
3.0,3.0,3.0,2.11764717,1.47058821
2.74509811,2.74509811,2.74509811,2.19607854,1.47058821
2.56862736,2.56862736,2.56862736,2.33333325,1.47058821
2.47058821,2.47058821,2.47058821,2.54901958,1.50980389
2.66666675,2.66666675,2.66666675,2.50980401,1.49019611
2.82352948,2.82352948,2.82352948,2.25490189,1.49019611
